"scenario","year","flow_mm_yr_fire","flow_mm_yr_nofire","sed_kg_yr_fire","sed_kg_yr_nofire","nit_kg_yr_fire","nit_kg_yr_nofire","doc_kg_yr_fire","doc_kg_yr_nofire","percent","severity"
"25_HIGH",2012,480.588969309696,480.588969309696,41746872.5861126,41746872.5861126,15164.21193,15164.21193,174587.910237,174587.910237,25,"HIGH"
"25_HIGH",2014,408.813763221736,408.813763221736,33623320.5724902,33623320.5724902,20681.35513,20681.35513,195287.560499,195287.560499,25,"HIGH"
"25_HIGH",2015,812.514193616383,812.514193616383,92620834.4280879,92620834.4280879,20288.32531,20288.32531,441408.71225,441408.71225,25,"HIGH"
"25_HIGH",2016,789.170609791947,789.170609791947,82674059.7251232,82674059.7251232,20802.1887,20802.1887,398325.76245,398325.76245,25,"HIGH"
"25_HIGH",2017,597.239666869285,597.239666869285,58448258.063712,58448258.063712,11533.26188,11533.26188,98467.295472,98467.295472,25,"HIGH"
"25_HIGH",2018,479.101204493172,479.101204493172,43523394.1891891,43523394.1891891,11330.37249,11330.37249,185990.346441,185990.346441,25,"HIGH"
"25_HIGH",2019,616.092626226348,585.495550953221,64398660.2701978,58180801.1820221,41647.16321,9698.18022,302614.437814,100090.324439,25,"HIGH"
"25_LOW",1989,527.54797370834,527.54797370834,51963871.413024,51963871.413024,26538.324,26538.324,142472.906,142472.906,25,"LOW"
"25_LOW",1990,748.878456303606,748.878456303606,78162098.1594048,78162098.1594048,32998.4608,32998.4608,218751.3587,218751.3587,25,"LOW"
"25_LOW",1991,465.294435326295,465.294435326295,39877242.153552,39877242.153552,33183.81601,33183.81601,163743.80389,163743.80389,25,"LOW"
"25_LOW",1992,503.730792136164,503.730792136164,45650510.6413248,45650510.6413248,32539.0028,32539.0028,446806.38414,446806.38414,25,"LOW"
"25_LOW",1993,392.185138294398,392.185138294398,34036934.159808,34036934.159808,29196.781,29196.781,253205.12188,253205.12188,25,"LOW"
"25_LOW",1994,786.560815526784,786.560815526784,83729584.2436793,83729584.2436793,52926.46364,52926.46364,502678.35046,502678.35046,25,"LOW"
"25_LOW",1995,982.543024313568,982.543024313568,123628803.855091,123628803.855091,36544.6708,36544.6708,532112.91225,532112.91225,25,"LOW"
"25_LOW",1996,1021.92601996684,1021.92601996684,130131356.218877,130131356.218877,40345.40244,40345.40244,827248.33564,827248.33564,25,"LOW"
"25_LOW",1997,726.884701448166,726.884701448166,75554997.5945664,75554997.5945664,34099.7497,34099.7497,288856.7224,288856.7224,25,"LOW"
"25_LOW",1998,846.234019438058,846.234019438058,94169977.01928,94169977.01928,29558.6755,29558.6755,252160.2416,252160.2416,25,"LOW"
"25_LOW",1999,646.669119975469,646.669119975469,60489066.658752,60489066.658752,30093.5705,30093.5705,249191.3804,249191.3804,25,"LOW"
"25_LOW",2000,311.723166130141,311.723166130141,23516341.9808832,23516341.9808832,21835.9522,21835.9522,116088.04189,116088.04189,25,"LOW"
"25_LOW",2001,676.21937293823,676.21937293823,65750352.1062336,65750352.1062336,32815.61143,32815.61143,215692.754604,215692.754604,25,"LOW"
"25_LOW",2002,558.052507746068,558.052507746068,51682514.4012096,51682514.4012096,30043.19754,30043.19754,163642.09056,163642.09056,25,"LOW"
"25_LOW",2003,505.143441952329,505.143441952329,47021386.6409645,47021386.6409645,30173.9431,30173.9431,178794.61622,178794.61622,25,"LOW"
"25_LOW",2004,355.124616119185,355.124616119185,33147627.7733942,33147627.7733942,13458.9219,13458.9219,140080.5075,140080.5075,25,"LOW"
"25_LOW",2005,689.907143902111,689.907143902111,67600581.1052226,67600581.1052226,36303.02032,36303.02032,288702.984527,288702.984527,25,"LOW"
"25_LOW",2006,669.559538417056,669.559538417056,73864215.315409,73864215.315409,20876.63335,20876.63335,302099.75353,302099.75353,25,"LOW"
"25_LOW",2007,481.739997863154,481.739997863154,49851615.0801462,49851615.0801462,21368.3613,21368.3613,362823.979303,362823.979303,25,"LOW"
"25_LOW",2008,563.989162205346,563.989162205346,64103507.0411242,64103507.0411242,20810.4791,20810.4791,243861.40623,243861.40623,25,"LOW"
"25_LOW",2009,439.141249388675,439.141249388675,34363206.7192451,34363206.7192451,20176.15819,20176.15819,128186.46027,128186.46027,25,"LOW"
"25_LOW",2010,633.316858449627,633.316858449627,64054623.1039488,64054623.1039488,23853.4854,23853.4854,265239.20049,265239.20049,25,"LOW"
"25_LOW",2011,491.471425354949,491.471425354949,46803399.7860288,46803399.7860288,14763.03044,14763.03044,193658.62708,193658.62708,25,"LOW"
"25_LOW",2012,480.588969309696,480.588969309696,41746872.5861126,41746872.5861126,15164.21193,15164.21193,174587.910237,174587.910237,25,"LOW"
"25_LOW",2014,408.813763221736,408.813763221736,33623320.5724902,33623320.5724902,20681.35513,20681.35513,195287.560499,195287.560499,25,"LOW"
"25_LOW",2015,812.514193616383,812.514193616383,92620834.4280879,92620834.4280879,20288.32531,20288.32531,441408.71225,441408.71225,25,"LOW"
"25_LOW",2016,789.170609791947,789.170609791947,82674059.7251232,82674059.7251232,20802.1887,20802.1887,398325.76245,398325.76245,25,"LOW"
"25_LOW",2017,597.239666869285,597.239666869285,58448258.063712,58448258.063712,11533.26188,11533.26188,98467.295472,98467.295472,25,"LOW"
"25_LOW",2018,479.101204493172,479.101204493172,43523394.1891891,43523394.1891891,11330.37249,11330.37249,185990.346441,185990.346441,25,"LOW"
"25_LOW",2019,587.574655167939,585.495550953221,59080619.4657178,58180801.1820221,21018.42696,9698.18022,181973.029711,100090.324439,25,"LOW"
"25_MOD",1989,527.54797370834,527.54797370834,51963871.413024,51963871.413024,26538.324,26538.324,142472.906,142472.906,25,"MOD"
"25_MOD",1990,748.878456303606,748.878456303606,78162098.1594048,78162098.1594048,32998.4608,32998.4608,218751.3587,218751.3587,25,"MOD"
"25_MOD",1991,465.294435326295,465.294435326295,39877242.153552,39877242.153552,33183.81601,33183.81601,163743.80389,163743.80389,25,"MOD"
"25_MOD",1992,503.730792136164,503.730792136164,45650510.6413248,45650510.6413248,32539.0028,32539.0028,446806.38414,446806.38414,25,"MOD"
"25_MOD",1993,392.185138294398,392.185138294398,34036934.159808,34036934.159808,29196.781,29196.781,253205.12188,253205.12188,25,"MOD"
"25_MOD",1994,786.560815526784,786.560815526784,83729584.2436793,83729584.2436793,52926.46364,52926.46364,502678.35046,502678.35046,25,"MOD"
"25_MOD",1995,982.543024313568,982.543024313568,123628803.855091,123628803.855091,36544.6708,36544.6708,532112.91225,532112.91225,25,"MOD"
"25_MOD",1996,1021.92601996684,1021.92601996684,130131356.218877,130131356.218877,40345.40244,40345.40244,827248.33564,827248.33564,25,"MOD"
"25_MOD",1997,726.884701448166,726.884701448166,75554997.5945664,75554997.5945664,34099.7497,34099.7497,288856.7224,288856.7224,25,"MOD"
"25_MOD",1998,846.234019438058,846.234019438058,94169977.01928,94169977.01928,29558.6755,29558.6755,252160.2416,252160.2416,25,"MOD"
"25_MOD",1999,646.669119975469,646.669119975469,60489066.658752,60489066.658752,30093.5705,30093.5705,249191.3804,249191.3804,25,"MOD"
"25_MOD",2000,311.723166130141,311.723166130141,23516341.9808832,23516341.9808832,21835.9522,21835.9522,116088.04189,116088.04189,25,"MOD"
"25_MOD",2001,676.21937293823,676.21937293823,65750352.1062336,65750352.1062336,32815.61143,32815.61143,215692.754604,215692.754604,25,"MOD"
"25_MOD",2002,558.052507746068,558.052507746068,51682514.4012096,51682514.4012096,30043.19754,30043.19754,163642.09056,163642.09056,25,"MOD"
"25_MOD",2003,505.143441952329,505.143441952329,47021386.6409645,47021386.6409645,30173.9431,30173.9431,178794.61622,178794.61622,25,"MOD"
"25_MOD",2004,355.124616119185,355.124616119185,33147627.7733942,33147627.7733942,13458.9219,13458.9219,140080.5075,140080.5075,25,"MOD"
"25_MOD",2005,689.907143902111,689.907143902111,67600581.1052226,67600581.1052226,36303.02032,36303.02032,288702.984527,288702.984527,25,"MOD"
"25_MOD",2006,669.559538417056,669.559538417056,73864215.315409,73864215.315409,20876.63335,20876.63335,302099.75353,302099.75353,25,"MOD"
"25_MOD",2007,481.739997863154,481.739997863154,49851615.0801462,49851615.0801462,21368.3613,21368.3613,362823.979303,362823.979303,25,"MOD"
"25_MOD",2008,563.989162205346,563.989162205346,64103507.0411242,64103507.0411242,20810.4791,20810.4791,243861.40623,243861.40623,25,"MOD"
"25_MOD",2009,439.141249388675,439.141249388675,34363206.7192451,34363206.7192451,20176.15819,20176.15819,128186.46027,128186.46027,25,"MOD"
"25_MOD",2010,633.316858449627,633.316858449627,64054623.1039488,64054623.1039488,23853.4854,23853.4854,265239.20049,265239.20049,25,"MOD"
"25_MOD",2011,491.471425354949,491.471425354949,46803399.7860288,46803399.7860288,14763.03044,14763.03044,193658.62708,193658.62708,25,"MOD"
"25_MOD",2012,480.588969309696,480.588969309696,41746872.5861126,41746872.5861126,15164.21193,15164.21193,174587.910237,174587.910237,25,"MOD"
"25_MOD",2014,408.813763221736,408.813763221736,33623320.5724902,33623320.5724902,20681.35513,20681.35513,195287.560499,195287.560499,25,"MOD"
"25_MOD",2015,812.514193616383,812.514193616383,92620834.4280879,92620834.4280879,20288.32531,20288.32531,441408.71225,441408.71225,25,"MOD"
"25_MOD",2016,789.170609791947,789.170609791947,82674059.7251232,82674059.7251232,20802.1887,20802.1887,398325.76245,398325.76245,25,"MOD"
"25_MOD",2017,597.239666869285,597.239666869285,58448258.063712,58448258.063712,11533.26188,11533.26188,98467.295472,98467.295472,25,"MOD"
"25_MOD",2018,479.101204493172,479.101204493172,43523394.1891891,43523394.1891891,11330.37249,11330.37249,185990.346441,185990.346441,25,"MOD"
"25_MOD",2019,602.51704325665,585.495550953221,61786270.4448442,58180801.1820221,27705.61671,9698.18022,295413.327237,100090.324439,25,"MOD"
"30_HIGH",1989,527.54797370834,527.54797370834,51963871.413024,51963871.413024,26538.324,26538.324,142472.906,142472.906,30,"HIGH"
"30_HIGH",1990,748.878456303606,748.878456303606,78162098.1594048,78162098.1594048,32998.4608,32998.4608,218751.3587,218751.3587,30,"HIGH"
"30_HIGH",1991,465.294435326295,465.294435326295,39877242.153552,39877242.153552,33183.81601,33183.81601,163743.80389,163743.80389,30,"HIGH"
"30_HIGH",1992,503.730792136164,503.730792136164,45650510.6413248,45650510.6413248,32539.0028,32539.0028,446806.38414,446806.38414,30,"HIGH"
"30_HIGH",1993,392.185138294398,392.185138294398,34036934.159808,34036934.159808,29196.781,29196.781,253205.12188,253205.12188,30,"HIGH"
"30_HIGH",1994,786.560815526784,786.560815526784,83729584.2436793,83729584.2436793,52926.46364,52926.46364,502678.35046,502678.35046,30,"HIGH"
"30_HIGH",1995,982.543024313568,982.543024313568,123628803.855091,123628803.855091,36544.6708,36544.6708,532112.91225,532112.91225,30,"HIGH"
"30_HIGH",1996,1021.92601996684,1021.92601996684,130131356.218877,130131356.218877,40345.40244,40345.40244,827248.33564,827248.33564,30,"HIGH"
"30_HIGH",1997,726.884701448166,726.884701448166,75554997.5945664,75554997.5945664,34099.7497,34099.7497,288856.7224,288856.7224,30,"HIGH"
"30_HIGH",1998,846.234019438058,846.234019438058,94169977.01928,94169977.01928,29558.6755,29558.6755,252160.2416,252160.2416,30,"HIGH"
"30_HIGH",1999,646.669119975469,646.669119975469,60489066.658752,60489066.658752,30093.5705,30093.5705,249191.3804,249191.3804,30,"HIGH"
"30_HIGH",2000,311.723166130141,311.723166130141,23516341.9808832,23516341.9808832,21835.9522,21835.9522,116088.04189,116088.04189,30,"HIGH"
"30_HIGH",2001,676.21937293823,676.21937293823,65750352.1062336,65750352.1062336,32815.61143,32815.61143,215692.754604,215692.754604,30,"HIGH"
"30_HIGH",2002,558.052507746068,558.052507746068,51682514.4012096,51682514.4012096,30043.19754,30043.19754,163642.09056,163642.09056,30,"HIGH"
"30_HIGH",2003,505.143441952329,505.143441952329,47021386.6409645,47021386.6409645,30173.9431,30173.9431,178794.61622,178794.61622,30,"HIGH"
"30_HIGH",2004,355.124616119185,355.124616119185,33147627.7733942,33147627.7733942,13458.9219,13458.9219,140080.5075,140080.5075,30,"HIGH"
"30_HIGH",2005,689.907143902111,689.907143902111,67600581.1052226,67600581.1052226,36303.02032,36303.02032,288702.984527,288702.984527,30,"HIGH"
"30_HIGH",2006,669.559538417056,669.559538417056,73864215.315409,73864215.315409,20876.63335,20876.63335,302099.75353,302099.75353,30,"HIGH"
"30_HIGH",2007,481.739997863154,481.739997863154,49851615.0801462,49851615.0801462,21368.3613,21368.3613,362823.979303,362823.979303,30,"HIGH"
"30_HIGH",2008,563.989162205346,563.989162205346,64103507.0411242,64103507.0411242,20810.4791,20810.4791,243861.40623,243861.40623,30,"HIGH"
"30_HIGH",2009,439.141249388675,439.141249388675,34363206.7192451,34363206.7192451,20176.15819,20176.15819,128186.46027,128186.46027,30,"HIGH"
"30_HIGH",2010,633.316858449627,633.316858449627,64054623.1039488,64054623.1039488,23853.4854,23853.4854,265239.20049,265239.20049,30,"HIGH"
"30_HIGH",2011,491.471425354949,491.471425354949,46803399.7860288,46803399.7860288,14763.03044,14763.03044,193658.62708,193658.62708,30,"HIGH"
"30_HIGH",2012,480.588969309696,480.588969309696,41746872.5861126,41746872.5861126,15164.21193,15164.21193,174587.910237,174587.910237,30,"HIGH"
"30_HIGH",2014,408.813763221736,408.813763221736,33623320.5724902,33623320.5724902,20681.35513,20681.35513,195287.560499,195287.560499,30,"HIGH"
"30_HIGH",2015,812.514193616383,812.514193616383,92620834.4280879,92620834.4280879,20288.32531,20288.32531,441408.71225,441408.71225,30,"HIGH"
"30_HIGH",2016,789.170609791947,789.170609791947,82674059.7251232,82674059.7251232,20802.1887,20802.1887,398325.76245,398325.76245,30,"HIGH"
"30_HIGH",2017,597.239666869285,597.239666869285,58448258.063712,58448258.063712,11533.26188,11533.26188,98467.295472,98467.295472,30,"HIGH"
"30_HIGH",2018,479.101204493172,479.101204493172,43523394.1891891,43523394.1891891,11330.37249,11330.37249,185990.346441,185990.346441,30,"HIGH"
"30_HIGH",2019,620.25111454643,585.495550953221,65222379.9000605,58180801.1820221,47786.56849,9698.18022,322553.830204,100090.324439,30,"HIGH"
"30_LOW",1989,527.54797370834,527.54797370834,51963871.413024,51963871.413024,26538.324,26538.324,142472.906,142472.906,30,"LOW"
"30_LOW",1990,748.878456303606,748.878456303606,78162098.1594048,78162098.1594048,32998.4608,32998.4608,218751.3587,218751.3587,30,"LOW"
"30_LOW",1991,465.294435326295,465.294435326295,39877242.153552,39877242.153552,33183.81601,33183.81601,163743.80389,163743.80389,30,"LOW"
"30_LOW",1992,503.730792136164,503.730792136164,45650510.6413248,45650510.6413248,32539.0028,32539.0028,446806.38414,446806.38414,30,"LOW"
"30_LOW",1993,392.185138294398,392.185138294398,34036934.159808,34036934.159808,29196.781,29196.781,253205.12188,253205.12188,30,"LOW"
"30_LOW",1994,786.560815526784,786.560815526784,83729584.2436793,83729584.2436793,52926.46364,52926.46364,502678.35046,502678.35046,30,"LOW"
"30_LOW",1995,982.543024313568,982.543024313568,123628803.855091,123628803.855091,36544.6708,36544.6708,532112.91225,532112.91225,30,"LOW"
"30_LOW",1996,1021.92601996684,1021.92601996684,130131356.218877,130131356.218877,40345.40244,40345.40244,827248.33564,827248.33564,30,"LOW"
"30_LOW",1997,726.884701448166,726.884701448166,75554997.5945664,75554997.5945664,34099.7497,34099.7497,288856.7224,288856.7224,30,"LOW"
"30_LOW",1998,846.234019438058,846.234019438058,94169977.01928,94169977.01928,29558.6755,29558.6755,252160.2416,252160.2416,30,"LOW"
"30_LOW",1999,646.669119975469,646.669119975469,60489066.658752,60489066.658752,30093.5705,30093.5705,249191.3804,249191.3804,30,"LOW"
"30_LOW",2000,311.723166130141,311.723166130141,23516341.9808832,23516341.9808832,21835.9522,21835.9522,116088.04189,116088.04189,30,"LOW"
"30_LOW",2001,676.21937293823,676.21937293823,65750352.1062336,65750352.1062336,32815.61143,32815.61143,215692.754604,215692.754604,30,"LOW"
"30_LOW",2002,558.052507746068,558.052507746068,51682514.4012096,51682514.4012096,30043.19754,30043.19754,163642.09056,163642.09056,30,"LOW"
"30_LOW",2003,505.143441952329,505.143441952329,47021386.6409645,47021386.6409645,30173.9431,30173.9431,178794.61622,178794.61622,30,"LOW"
"30_LOW",2004,355.124616119185,355.124616119185,33147627.7733942,33147627.7733942,13458.9219,13458.9219,140080.5075,140080.5075,30,"LOW"
"30_LOW",2005,689.907143902111,689.907143902111,67600581.1052226,67600581.1052226,36303.02032,36303.02032,288702.984527,288702.984527,30,"LOW"
"30_LOW",2006,669.559538417056,669.559538417056,73864215.315409,73864215.315409,20876.63335,20876.63335,302099.75353,302099.75353,30,"LOW"
"30_LOW",2007,481.739997863154,481.739997863154,49851615.0801462,49851615.0801462,21368.3613,21368.3613,362823.979303,362823.979303,30,"LOW"
"30_LOW",2008,563.989162205346,563.989162205346,64103507.0411242,64103507.0411242,20810.4791,20810.4791,243861.40623,243861.40623,30,"LOW"
"30_LOW",2009,439.141249388675,439.141249388675,34363206.7192451,34363206.7192451,20176.15819,20176.15819,128186.46027,128186.46027,30,"LOW"
"30_LOW",2010,633.316858449627,633.316858449627,64054623.1039488,64054623.1039488,23853.4854,23853.4854,265239.20049,265239.20049,30,"LOW"
"30_LOW",2011,491.471425354949,491.471425354949,46803399.7860288,46803399.7860288,14763.03044,14763.03044,193658.62708,193658.62708,30,"LOW"
"30_LOW",2012,480.588969309696,480.588969309696,41746872.5861126,41746872.5861126,15164.21193,15164.21193,174587.910237,174587.910237,30,"LOW"
"30_LOW",2014,408.813763221736,408.813763221736,33623320.5724902,33623320.5724902,20681.35513,20681.35513,195287.560499,195287.560499,30,"LOW"
"30_LOW",2015,812.514193616383,812.514193616383,92620834.4280879,92620834.4280879,20288.32531,20288.32531,441408.71225,441408.71225,30,"LOW"
"30_LOW",2016,789.170609791947,789.170609791947,82674059.7251232,82674059.7251232,20802.1887,20802.1887,398325.76245,398325.76245,30,"LOW"
"30_LOW",2017,597.239666869285,597.239666869285,58448258.063712,58448258.063712,11533.26188,11533.26188,98467.295472,98467.295472,30,"LOW"
"30_LOW",2018,479.101204493172,479.101204493172,43523394.1891891,43523394.1891891,11330.37249,11330.37249,185990.346441,185990.346441,30,"LOW"
"30_LOW",2019,587.914548458422,585.495550953221,59240375.7647933,58180801.1820221,22288.59616,9698.18022,183691.596385,100090.324439,30,"LOW"
"30_MOD",1989,527.54797370834,527.54797370834,51963871.413024,51963871.413024,26538.324,26538.324,142472.906,142472.906,30,"MOD"
"30_MOD",1990,748.878456303606,748.878456303606,78162098.1594048,78162098.1594048,32998.4608,32998.4608,218751.3587,218751.3587,30,"MOD"
"30_MOD",1991,465.294435326295,465.294435326295,39877242.153552,39877242.153552,33183.81601,33183.81601,163743.80389,163743.80389,30,"MOD"
"30_MOD",1992,503.730792136164,503.730792136164,45650510.6413248,45650510.6413248,32539.0028,32539.0028,446806.38414,446806.38414,30,"MOD"
"30_MOD",1993,392.185138294398,392.185138294398,34036934.159808,34036934.159808,29196.781,29196.781,253205.12188,253205.12188,30,"MOD"
"30_MOD",1994,786.560815526784,786.560815526784,83729584.2436793,83729584.2436793,52926.46364,52926.46364,502678.35046,502678.35046,30,"MOD"
"30_MOD",1995,982.543024313568,982.543024313568,123628803.855091,123628803.855091,36544.6708,36544.6708,532112.91225,532112.91225,30,"MOD"
"30_MOD",1996,1021.92601996684,1021.92601996684,130131356.218877,130131356.218877,40345.40244,40345.40244,827248.33564,827248.33564,30,"MOD"
"30_MOD",1997,726.884701448166,726.884701448166,75554997.5945664,75554997.5945664,34099.7497,34099.7497,288856.7224,288856.7224,30,"MOD"
"30_MOD",1998,846.234019438058,846.234019438058,94169977.01928,94169977.01928,29558.6755,29558.6755,252160.2416,252160.2416,30,"MOD"
"30_MOD",1999,646.669119975469,646.669119975469,60489066.658752,60489066.658752,30093.5705,30093.5705,249191.3804,249191.3804,30,"MOD"
"30_MOD",2000,311.723166130141,311.723166130141,23516341.9808832,23516341.9808832,21835.9522,21835.9522,116088.04189,116088.04189,30,"MOD"
"30_MOD",2001,676.21937293823,676.21937293823,65750352.1062336,65750352.1062336,32815.61143,32815.61143,215692.754604,215692.754604,30,"MOD"
"30_MOD",2002,558.052507746068,558.052507746068,51682514.4012096,51682514.4012096,30043.19754,30043.19754,163642.09056,163642.09056,30,"MOD"
"30_MOD",2003,505.143441952329,505.143441952329,47021386.6409645,47021386.6409645,30173.9431,30173.9431,178794.61622,178794.61622,30,"MOD"
"30_MOD",2004,355.124616119185,355.124616119185,33147627.7733942,33147627.7733942,13458.9219,13458.9219,140080.5075,140080.5075,30,"MOD"
"30_MOD",2005,689.907143902111,689.907143902111,67600581.1052226,67600581.1052226,36303.02032,36303.02032,288702.984527,288702.984527,30,"MOD"
"30_MOD",2006,669.559538417056,669.559538417056,73864215.315409,73864215.315409,20876.63335,20876.63335,302099.75353,302099.75353,30,"MOD"
"30_MOD",2007,481.739997863154,481.739997863154,49851615.0801462,49851615.0801462,21368.3613,21368.3613,362823.979303,362823.979303,30,"MOD"
"30_MOD",2008,563.989162205346,563.989162205346,64103507.0411242,64103507.0411242,20810.4791,20810.4791,243861.40623,243861.40623,30,"MOD"
"30_MOD",2009,439.141249388675,439.141249388675,34363206.7192451,34363206.7192451,20176.15819,20176.15819,128186.46027,128186.46027,30,"MOD"
"30_MOD",2010,633.316858449627,633.316858449627,64054623.1039488,64054623.1039488,23853.4854,23853.4854,265239.20049,265239.20049,30,"MOD"
"30_MOD",2011,491.471425354949,491.471425354949,46803399.7860288,46803399.7860288,14763.03044,14763.03044,193658.62708,193658.62708,30,"MOD"
"30_MOD",2012,480.588969309696,480.588969309696,41746872.5861126,41746872.5861126,15164.21193,15164.21193,174587.910237,174587.910237,30,"MOD"
"30_MOD",2014,408.813763221736,408.813763221736,33623320.5724902,33623320.5724902,20681.35513,20681.35513,195287.560499,195287.560499,30,"MOD"
"30_MOD",2015,812.514193616383,812.514193616383,92620834.4280879,92620834.4280879,20288.32531,20288.32531,441408.71225,441408.71225,30,"MOD"
"30_MOD",2016,789.170609791947,789.170609791947,82674059.7251232,82674059.7251232,20802.1887,20802.1887,398325.76245,398325.76245,30,"MOD"
"30_MOD",2017,597.239666869285,597.239666869285,58448258.063712,58448258.063712,11533.26188,11533.26188,98467.295472,98467.295472,30,"MOD"
"30_MOD",2018,479.101204493172,479.101204493172,43523394.1891891,43523394.1891891,11330.37249,11330.37249,185990.346441,185990.346441,30,"MOD"
"30_MOD",2019,604.890733246129,585.495550953221,62396407.9949501,58180801.1820221,30672.99941,9698.18022,303543.351594,100090.324439,30,"MOD"
"40_HIGH",1989,527.54797370834,527.54797370834,51963871.413024,51963871.413024,26538.324,26538.324,142472.906,142472.906,40,"HIGH"
"40_HIGH",1990,748.878456303606,748.878456303606,78162098.1594048,78162098.1594048,32998.4608,32998.4608,218751.3587,218751.3587,40,"HIGH"
"40_HIGH",1991,465.294435326295,465.294435326295,39877242.153552,39877242.153552,33183.81601,33183.81601,163743.80389,163743.80389,40,"HIGH"
"40_HIGH",1992,503.730792136164,503.730792136164,45650510.6413248,45650510.6413248,32539.0028,32539.0028,446806.38414,446806.38414,40,"HIGH"
"40_HIGH",1993,392.185138294398,392.185138294398,34036934.159808,34036934.159808,29196.781,29196.781,253205.12188,253205.12188,40,"HIGH"
"40_HIGH",1994,786.560815526784,786.560815526784,83729584.2436793,83729584.2436793,52926.46364,52926.46364,502678.35046,502678.35046,40,"HIGH"
"40_HIGH",1995,982.543024313568,982.543024313568,123628803.855091,123628803.855091,36544.6708,36544.6708,532112.91225,532112.91225,40,"HIGH"
"40_HIGH",1996,1021.92601996684,1021.92601996684,130131356.218877,130131356.218877,40345.40244,40345.40244,827248.33564,827248.33564,40,"HIGH"
"40_HIGH",1997,726.884701448166,726.884701448166,75554997.5945664,75554997.5945664,34099.7497,34099.7497,288856.7224,288856.7224,40,"HIGH"
"40_HIGH",1998,846.234019438058,846.234019438058,94169977.01928,94169977.01928,29558.6755,29558.6755,252160.2416,252160.2416,40,"HIGH"
"40_HIGH",1999,646.669119975469,646.669119975469,60489066.658752,60489066.658752,30093.5705,30093.5705,249191.3804,249191.3804,40,"HIGH"
"40_HIGH",2000,311.723166130141,311.723166130141,23516341.9808832,23516341.9808832,21835.9522,21835.9522,116088.04189,116088.04189,40,"HIGH"
"40_HIGH",2001,676.21937293823,676.21937293823,65750352.1062336,65750352.1062336,32815.61143,32815.61143,215692.754604,215692.754604,40,"HIGH"
"40_HIGH",2002,558.052507746068,558.052507746068,51682514.4012096,51682514.4012096,30043.19754,30043.19754,163642.09056,163642.09056,40,"HIGH"
"40_HIGH",2003,505.143441952329,505.143441952329,47021386.6409645,47021386.6409645,30173.9431,30173.9431,178794.61622,178794.61622,40,"HIGH"
"40_HIGH",2004,355.124616119185,355.124616119185,33147627.7733942,33147627.7733942,13458.9219,13458.9219,140080.5075,140080.5075,40,"HIGH"
"40_HIGH",2005,689.907143902111,689.907143902111,67600581.1052226,67600581.1052226,36303.02032,36303.02032,288702.984527,288702.984527,40,"HIGH"
"40_HIGH",2006,669.559538417056,669.559538417056,73864215.315409,73864215.315409,20876.63335,20876.63335,302099.75353,302099.75353,40,"HIGH"
"40_HIGH",2007,481.739997863154,481.739997863154,49851615.0801462,49851615.0801462,21368.3613,21368.3613,362823.979303,362823.979303,40,"HIGH"
"40_HIGH",2008,563.989162205346,563.989162205346,64103507.0411242,64103507.0411242,20810.4791,20810.4791,243861.40623,243861.40623,40,"HIGH"
"40_HIGH",2009,439.141249388675,439.141249388675,34363206.7192451,34363206.7192451,20176.15819,20176.15819,128186.46027,128186.46027,40,"HIGH"
"40_HIGH",2010,633.316858449627,633.316858449627,64054623.1039488,64054623.1039488,23853.4854,23853.4854,265239.20049,265239.20049,40,"HIGH"
"40_HIGH",2011,491.471425354949,491.471425354949,46803399.7860288,46803399.7860288,14763.03044,14763.03044,193658.62708,193658.62708,40,"HIGH"
"40_HIGH",2012,480.588969309696,480.588969309696,41746872.5861126,41746872.5861126,15164.21193,15164.21193,174587.910237,174587.910237,40,"HIGH"
"40_HIGH",2014,408.813763221736,408.813763221736,33623320.5724902,33623320.5724902,20681.35513,20681.35513,195287.560499,195287.560499,40,"HIGH"
"40_HIGH",2015,812.514193616383,812.514193616383,92620834.4280879,92620834.4280879,20288.32531,20288.32531,441408.71225,441408.71225,40,"HIGH"
"40_HIGH",2016,789.170609791947,789.170609791947,82674059.7251232,82674059.7251232,20802.1887,20802.1887,398325.76245,398325.76245,40,"HIGH"
"40_HIGH",2017,597.239666869285,597.239666869285,58448258.063712,58448258.063712,11533.26188,11533.26188,98467.295472,98467.295472,40,"HIGH"
"40_HIGH",2018,479.101204493172,479.101204493172,43523394.1891891,43523394.1891891,11330.37249,11330.37249,185990.346441,185990.346441,40,"HIGH"
"40_HIGH",2019,628.59754055028,585.495550953221,66766598.662176,58180801.1820221,56994.27172,9698.18022,358411.498129,100090.324439,40,"HIGH"
"40_LOW",1989,527.54797370834,527.54797370834,51963871.413024,51963871.413024,26538.324,26538.324,142472.906,142472.906,40,"LOW"
"40_LOW",1990,748.878456303606,748.878456303606,78162098.1594048,78162098.1594048,32998.4608,32998.4608,218751.3587,218751.3587,40,"LOW"
"40_LOW",1991,465.294435326295,465.294435326295,39877242.153552,39877242.153552,33183.81601,33183.81601,163743.80389,163743.80389,40,"LOW"
"40_LOW",1992,503.730792136164,503.730792136164,45650510.6413248,45650510.6413248,32539.0028,32539.0028,446806.38414,446806.38414,40,"LOW"
"40_LOW",1993,392.185138294398,392.185138294398,34036934.159808,34036934.159808,29196.781,29196.781,253205.12188,253205.12188,40,"LOW"
"40_LOW",1994,786.560815526784,786.560815526784,83729584.2436793,83729584.2436793,52926.46364,52926.46364,502678.35046,502678.35046,40,"LOW"
